,Road_Configuration,Light_Condition
10665,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10666,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10667,UNKNOWN,UNKNOWN
10668,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10669,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10670,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10671,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10672,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10673,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10674,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10675,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10676,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10677,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10678,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10679,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10680,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10681,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10682,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10683,UNKNOWN,UNKNOWN
10684,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DUSK
10685,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10686,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - ROADWAY NOT LIGHTED
10687,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10688,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DUSK
10689,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10690,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10691,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10692,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10693,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10694,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10695,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10696,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10697,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10698,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10699,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10700,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10701,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10702,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10703,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10704,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10705,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10706,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10707,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10708,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10709,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10710,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10711,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10712,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10713,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10714,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DUSK
10715,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10716,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10717,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10718,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10719,"TWO-WAY,NOT DIVIDED",DUSK
10720,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10721,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10722,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10723,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10724,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10725,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10726,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
10727,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10728,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10729,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10730,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10731,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10732,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
10733,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10734,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10735,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10736,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10737,UNKNOWN,UNKNOWN
10738,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10739,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10740,UNKNOWN,UNKNOWN
10741,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10742,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10743,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10744,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10745,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10746,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10747,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10748,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10749,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10750,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10751,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10752,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
10753,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10754,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10755,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10756,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10757,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10758,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10759,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10760,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10761,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10762,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10763,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10764,"TWO-WAY,NOT DIVIDED",UNKNOWN
10765,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10766,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10767,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10768,UNKNOWN,UNKNOWN
10769,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10770,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10771,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10772,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
10773,UNKNOWN,DAYLIGHT
10774,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10775,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10776,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10777,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10778,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10779,UNKNOWN,UNKNOWN
10780,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10781,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10782,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10783,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10784,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10785,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10786,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10787,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10788,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10789,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10790,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10791,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10792,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10793,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10794,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10795,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10796,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10797,UNKNOWN,UNKNOWN
10798,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10799,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10800,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10801,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10802,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10803,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10804,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10805,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10806,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10807,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10808,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10809,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10810,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10811,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10812,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10813,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10814,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10815,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10816,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10817,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10818,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10819,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10820,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10821,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10822,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10823,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10824,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10825,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10826,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10827,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10828,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10829,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10830,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10831,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10832,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10833,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10834,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10835,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10836,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10837,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10838,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10839,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10840,"TWO-WAY,NOT DIVIDED",UNKNOWN
10841,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10842,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10843,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10844,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10845,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10846,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
10847,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10848,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10849,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10850,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10851,"TWO-WAY,NOT DIVIDED",DUSK
10852,UNKNOWN,UNKNOWN
10853,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10854,"TWO-WAY,NOT DIVIDED",DUSK
10855,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10856,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10857,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10858,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10859,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10860,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10861,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10862,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10863,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10864,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10865,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10866,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10867,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10868,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
10869,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10870,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10871,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10872,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10873,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10874,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10875,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10876,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10877,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10878,"TWO-WAY,NOT DIVIDED",DAWN
10879,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10880,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10881,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10882,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10883,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10884,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10885,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10886,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10887,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10888,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10889,"TWO-WAY,NOT DIVIDED",UNKNOWN
10890,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10891,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - ROADWAY NOT LIGHTED
10892,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10893,"ONE-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10894,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10895,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10896,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10897,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10898,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAWN
10899,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10900,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10901,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10902,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10903,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10904,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10905,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10906,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10907,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10908,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10909,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10910,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10911,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10912,UNKNOWN,DAYLIGHT
10913,"TWO-WAY,NOT DIVIDED",DUSK
10914,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10915,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10916,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10917,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10918,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10919,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10920,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10921,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10922,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10923,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10924,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10925,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10926,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10927,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10928,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10929,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10930,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10931,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10932,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DUSK
10933,UNKNOWN,UNKNOWN
10934,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10935,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10936,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10937,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10938,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10939,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10940,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10941,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10942,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10943,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10944,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10945,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10946,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10947,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10948,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10949,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10950,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10951,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10952,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10953,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10954,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10955,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10956,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAWN
10957,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10958,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10959,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10960,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10961,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10962,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10963,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10964,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10965,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10966,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
10967,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10968,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10969,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10970,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10971,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10972,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10973,"TWO-WAY,NOT DIVIDED",DUSK
10974,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10975,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10976,UNKNOWN,DAYLIGHT
10977,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10978,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10979,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10980,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10981,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10982,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10983,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10984,"TWO-WAY,NOT DIVIDED",UNKNOWN
10985,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10986,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
10987,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10988,UNKNOWN,UNKNOWN
10989,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10990,"ONE-WAY,NOT DIVIDED",DAYLIGHT
10991,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10992,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - ROADWAY NOT LIGHTED
10993,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
10994,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10995,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10996,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10997,"TWO-WAY,NOT DIVIDED",DAYLIGHT
10998,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
10999,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
11000,"ONE-WAY,NOT DIVIDED",DAYLIGHT
11001,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11002,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
11003,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
11004,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
11005,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
11006,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11007,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
11008,"TWO-WAY,NOT DIVIDED",DUSK
11009,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11010,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11011,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11012,"ONE-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
11013,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
11014,"ONE-WAY,NOT DIVIDED",DAYLIGHT
11015,"TWO-WAY,NOT DIVIDED",DARK - UNKNOWN LIGHTING
11016,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11017,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
11018,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11019,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11020,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
11021,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
11022,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
11023,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
11024,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11025,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
11026,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11027,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11028,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11029,"ONE-WAY,NOT DIVIDED",DAYLIGHT
11030,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
11031,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11032,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
11033,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
11034,"TWO-WAY,NOT DIVIDED",DUSK
11035,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
11036,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11037,"ONE-WAY,NOT DIVIDED",DAYLIGHT
11038,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11039,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11040,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
11041,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
11042,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
